Concept,Target Class,Target Index,Layer,TCAV Score,Positive Count,Total Count,Max Rank Score,Min Rank Score,Avg Rank Score,Is Bird
feathers,macaw,88,layer4,1.0,1300,1300,38.7285,-48.8583,-3.2599,True
feathers,cock,7,layer4,1.0,1300,1300,41.0034,-52.5116,-7.7405,True
feathers,white_stork,127,layer4,1.0,1300,1300,26.5741,-53.2835,-7.8132,True
feathers,peacock,84,layer4,1.0,1300,1300,32.2505,-55.477,-9.0273,True
feathers,lorikeet,90,layer4,1.0,1300,1300,31.5897,-45.853,-9.9023,True
feathers,bald_eagle,22,layer4,1.0,1300,1300,33.4967,-56.4818,-10.3441,True
feathers,hen,8,layer4,1.0,1300,1300,22.8193,-51.7937,-11.6705,True
feathers,kite,21,layer4,1.0,1300,1300,32.9057,-64.0733,-12.2118,True
feathers,bee_eater,92,layer4,1.0,1300,1300,22.0881,-47.5036,-12.4701,True
feathers,crane,134,layer4,1.0,1300,1300,30.9866,-54.7089,-12.756,True
feathers,sulphur-crested_cockatoo,89,layer4,1.0,1300,1300,23.8384,-48.7041,-13.0669,True
feathers,sea_anemone,108,layer4,1.0,1300,1300,28.894,-61.3804,-13.4989,True
feathers,pelican,144,layer4,1.0,1300,1300,24.6676,-68.4337,-14.3894,True
feathers,great_grey_owl,24,layer4,1.0,1300,1300,20.7524,-66.7626,-14.7254,True
feathers,goose,99,layer4,1.0,1300,1300,26.0741,-53.0385,-15.4116,True
feathers,flamingo,130,layer4,1.0,1300,1300,42.419,-57.5132,-15.7563,True
feathers,hornbill,93,layer4,1.0,1300,1300,22.1821,-54.9527,-16.3235,True
feathers,indigo_bunting,14,layer4,1.0,1300,1300,27.0112,-53.3292,-16.5042,True
feathers,oystercatcher,143,layer4,1.0,1300,1300,19.7229,-54.9727,-17.7403,True
feathers,toucan,96,layer4,1.0,1300,1300,19.5852,-62.7312,-17.7934,True
feathers,spoonbill,129,layer4,1.0,1300,1300,22.6718,-59.092,-17.99,True
feathers,magpie,18,layer4,1.0,1300,1300,34.2507,-52.6799,-18.8402,True
feathers,bulbul,16,layer4,1.0,1300,1300,18.5405,-54.5429,-19.0429,True
feathers,coucal,91,layer4,1.0,1300,1300,16.1047,-59.6906,-19.3538,True
feathers,drake,97,layer4,1.0,1300,1300,23.8654,-58.2474,-19.4186,True
feathers,albatross,146,layer4,1.0,1300,1300,10.8573,-59.5841,-19.7579,True
feathers,red-backed_sandpiper,140,layer4,1.0,1300,1300,30.8697,-60.9099,-20.3964,True
feathers,limpkin,135,layer4,1.0,1300,1300,24.0966,-58.6951,-21.8308,True
feathers,redshank,141,layer4,1.0,1300,1300,21.9673,-59.7351,-21.847,True
feathers,goldfinch,11,layer4,1.0,1300,1300,17.6058,-57.3183,-22.2344,True
feathers,black_grouse,80,layer4,1.0,1300,1300,16.5884,-65.7437,-22.991,True
feathers,prairie_chicken,83,layer4,1.0,1300,1300,14.0604,-57.8313,-23.1616,True
feathers,black_swan,100,layer4,1.0,1300,1300,19.8621,-57.9326,-23.1712,True
feathers,chickadee,19,layer4,1.0,1300,1300,11.8912,-58.4768,-23.2306,True
feathers,ptarmigan,81,layer4,1.0,1300,1300,9.8705,-66.5971,-23.608,True
feathers,American_coot,137,layer4,1.0,1300,1300,12.9115,-60.1181,-24.4502,True
feathers,bustard,138,layer4,1.0,1300,1300,20.4827,-64.6931,-26.1173,True
feathers,hummingbird,94,layer4,1.0,1300,1300,11.5328,-63.4103,-26.321,True
feathers,bittern,133,layer4,1.0,1300,1300,14.7598,-68.9435,-26.5065,True
feathers,nematode,111,layer4,0.0,0,1300,15.4163,-80.8728,-27.5333,False
feathers,chambered_nautilus,117,layer4,0.0,0,1300,27.3215,-71.2973,-28.5157,False
feathers,water_ouzel,20,layer4,0.0,0,1300,16.3638,-70.6631,-29.7488,False
feathers,jellyfish,107,layer4,0.0,0,1300,18.7206,-72.4738,-31.0948,False
feathers,goldfish,1,layer4,0.0,0,1300,7.3098,-78.5219,-32.5678,False
feathers,green_lizard,46,layer4,0.0,0,1300,5.9593,-74.0517,-33.5331,False
feathers,black_and_gold_garden_spider,72,layer4,0.0,0,1300,0.3563,-82.7097,-34.8155,False
feathers,tarantula,76,layer4,0.0,0,1300,15.1595,-82.0219,-35.3778,False
feathers,sea_lion,150,layer4,0.0,0,1300,2.2014,-76.8333,-36.0955,False
feathers,conch,112,layer4,0.0,0,1300,19.8155,-75.8011,-36.3081,False
feathers,hammerhead,4,layer4,0.0,0,1300,6.8564,-69.3466,-36.5188,False
feathers,chiton,116,layer4,0.0,0,1300,23.9793,-74.3829,-36.967,False
feathers,great_white_shark,2,layer4,0.0,0,1300,7.83,-71.7779,-37.2927,False
feathers,green_mamba,64,layer4,0.0,0,1300,8.8574,-79.4207,-37.3821,False
feathers,green_snake,55,layer4,0.0,0,1300,5.9633,-79.0633,-37.717,False
feathers,wallaby,104,layer4,0.0,0,1300,12.3767,-80.9967,-37.7344,False
feathers,vine_snake,59,layer4,0.0,0,1300,6.8257,-82.7955,-37.8394,False
feathers,Dungeness_crab,118,layer4,0.0,0,1300,2.5683,-88.124,-38.0965,False
feathers,king_snake,56,layer4,0.0,0,1300,2.5861,-87.4826,-38.4314,False
feathers,barn_spider,73,layer4,0.0,0,1300,8.184,-72.4387,-38.4318,False
feathers,tiger_shark,3,layer4,0.0,0,1300,-1.4953,-72.9828,-38.6494,False
feathers,common_iguana,39,layer4,0.0,0,1300,2.95,-85.6733,-38.8334,False
feathers,stingray,6,layer4,0.0,0,1300,-0.2924,-75.2049,-39.0982,False
feathers,electric_ray,5,layer4,0.0,0,1300,-0.3569,-76.0989,-39.2981,False
feathers,diamondback,67,layer4,0.0,0,1300,23.8399,-96.3685,-39.9375,False
feathers,flatworm,110,layer4,0.0,0,1300,12.3983,-81.5269,-40.1726,False
feathers,wombat,106,layer4,0.0,0,1300,1.5195,-90.3851,-40.3362,False
feathers,garden_spider,74,layer4,0.0,0,1300,12.7452,-82.2709,-40.5157,False
feathers,sea_slug,115,layer4,0.0,0,1300,10.2517,-73.6829,-40.8887,False
feathers,sidewinder,68,layer4,0.0,0,1300,-0.6316,-93.1007,-40.9633,False
feathers,black_widow,75,layer4,0.0,0,1300,1.2283,-73.041,-41.1735,False
feathers,whiptail,41,layer4,0.0,0,1300,12.8834,-87.1116,-41.2802,False
feathers,harvestman,70,layer4,0.0,0,1300,-3.653,-78.3274,-41.7861,False
feathers,Komodo_dragon,48,layer4,0.0,0,1300,-5.1589,-89.9474,-42.3017,False
feathers,thunder_snake,52,layer4,0.0,0,1300,12.1197,-91.6836,-42.6612,False
feathers,agama,42,layer4,0.0,0,1300,-2.9464,-91.8215,-42.6879,False
feathers,sea_snake,65,layer4,0.0,0,1300,2.2744,-87.0002,-42.9,False
feathers,terrapin,36,layer4,0.0,0,1300,-8.0076,-82.9698,-43.0932,False
feathers,tench,0,layer4,0.0,0,1300,3.2664,-101.5723,-43.6277,False
feathers,crayfish,124,layer4,0.0,0,1300,1.3277,-100.7327,-43.8618,False
feathers,snail,113,layer4,0.0,0,1300,1.1006,-89.5374,-43.8673,False
feathers,tick,78,layer4,0.0,0,1300,5.0018,-95.661,-43.9105,False
feathers,mud_turtle,35,layer4,0.0,0,1300,1.4423,-79.5621,-44.3733,False
feathers,wolf_spider,77,layer4,0.0,0,1300,0.6571,-89.9864,-44.4408,False
feathers,hognose_snake,54,layer4,0.0,0,1300,-3.8032,-85.3023,-44.6267,False
feathers,night_snake,60,layer4,0.0,0,1300,12.9519,-87.731,-44.7302,False
feathers,horned_viper,66,layer4,0.0,0,1300,0.7296,-84.7211,-44.8672,False
feathers,garter_snake,57,layer4,0.0,0,1300,-5.1188,-94.314,-45.683,False
feathers,axolotl,29,layer4,0.0,0,1300,-8.4052,-85.0914,-46.4384,False
feathers,spiny_lobster,123,layer4,0.0,0,1300,-0.947,-83.9323,-46.6124,False
feathers,American_alligator,50,layer4,0.0,0,1300,2.6277,-82.6854,-47.0165,False
