Concept,Target Class,Target Index,Layer,TCAV Score,Positive Count,Total Count,Max Rank Score,Min Rank Score,Avg Rank Score,Is Bird
feathers,macaw,88,layer4,1.0,1300,1300,0.1517,-0.1633,-0.0117,True
feathers,cock,7,layer4,1.0,1300,1300,0.1272,-0.1577,-0.0271,True
feathers,white_stork,127,layer4,1.0,1300,1300,0.0838,-0.1871,-0.028,True
feathers,peacock,84,layer4,1.0,1300,1300,0.1159,-0.1701,-0.03,True
feathers,bald_eagle,22,layer4,1.0,1300,1300,0.0954,-0.1791,-0.0344,True
feathers,lorikeet,90,layer4,1.0,1300,1300,0.0983,-0.1577,-0.0355,True
feathers,hen,8,layer4,1.0,1300,1300,0.0746,-0.173,-0.0404,True
feathers,kite,21,layer4,1.0,1300,1300,0.1019,-0.1863,-0.0423,True
feathers,crane,134,layer4,1.0,1300,1300,0.1007,-0.1703,-0.0443,True
feathers,bee_eater,92,layer4,1.0,1300,1300,0.075,-0.1557,-0.0444,True
feathers,sulphur-crested_cockatoo,89,layer4,1.0,1300,1300,0.0796,-0.1694,-0.0457,True
feathers,pelican,144,layer4,1.0,1300,1300,0.0735,-0.1834,-0.0479,True
feathers,great_grey_owl,24,layer4,1.0,1300,1300,0.0722,-0.2097,-0.0493,True
feathers,sea_anemone,108,layer4,1.0,1300,1300,0.1289,-0.2094,-0.0521,True
feathers,flamingo,130,layer4,1.0,1300,1300,0.1378,-0.1772,-0.0522,True
feathers,goose,99,layer4,1.0,1300,1300,0.0871,-0.1736,-0.0525,True
feathers,hornbill,93,layer4,1.0,1300,1300,0.0628,-0.1716,-0.0539,True
feathers,indigo_bunting,14,layer4,1.0,1300,1300,0.0702,-0.1663,-0.0568,True
feathers,toucan,96,layer4,1.0,1300,1300,0.0695,-0.1924,-0.0596,True
feathers,spoonbill,129,layer4,1.0,1300,1300,0.0731,-0.1912,-0.0615,True
feathers,bulbul,16,layer4,1.0,1300,1300,0.0558,-0.17,-0.0644,True
feathers,magpie,18,layer4,1.0,1300,1300,0.1207,-0.184,-0.066,True
feathers,drake,97,layer4,1.0,1300,1300,0.071,-0.2051,-0.0663,True
feathers,oystercatcher,143,layer4,1.0,1300,1300,0.0589,-0.1734,-0.0664,True
feathers,coucal,91,layer4,1.0,1300,1300,0.0599,-0.1899,-0.0667,True
feathers,albatross,146,layer4,1.0,1300,1300,0.0349,-0.1911,-0.0673,True
feathers,black_swan,100,layer4,1.0,1300,1300,0.061,-0.1891,-0.0743,True
feathers,red-backed_sandpiper,140,layer4,1.0,1300,1300,0.0986,-0.2088,-0.0767,True
feathers,chickadee,19,layer4,1.0,1300,1300,0.0423,-0.1704,-0.0771,True
feathers,limpkin,135,layer4,1.0,1300,1300,0.0806,-0.2104,-0.0775,True
feathers,black_grouse,80,layer4,1.0,1300,1300,0.0634,-0.197,-0.0794,True
feathers,redshank,141,layer4,1.0,1300,1300,0.0728,-0.2077,-0.0811,True
feathers,prairie_chicken,83,layer4,1.0,1300,1300,0.0442,-0.1907,-0.0815,True
feathers,goldfinch,11,layer4,1.0,1300,1300,0.0587,-0.1787,-0.0818,True
feathers,American_coot,137,layer4,1.0,1300,1300,0.0499,-0.1903,-0.084,True
feathers,ptarmigan,81,layer4,1.0,1300,1300,0.035,-0.2081,-0.0841,True
feathers,hummingbird,94,layer4,1.0,1300,1300,0.0356,-0.2246,-0.0887,True
feathers,bustard,138,layer4,1.0,1300,1300,0.0543,-0.2045,-0.0897,True
feathers,bittern,133,layer4,1.0,1300,1300,0.0502,-0.1949,-0.0918,True
